case_id,track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy,psi_rad,length,width
1.0,1,1,100,car,1127.978,950.513,2.579,0.404,0.155,4.4,1.87
1.0,2,1,100,car,1104.118,943.792,0.873,0.061,0.069,4.42,1.68
1.0,3,1,100,car,1095.164,942.932,0.0,0.0,0.097,4.56,1.75
1.0,4,1,100,car,1137.198,952.222,2.282,0.421,0.183,4.57,1.75
1.0,5,1,100,car,1119.351,948.908,2.3040000000000003,0.303,0.131,4.98,1.96
1.0,6,1,100,car,1087.182,942.615,0.973,0.049,0.05,4.25,1.73
1.0,7,1,100,car,1110.901,948.067,2.345,0.316,0.134,4.53,1.79
1.0,8,1,100,car,1100.191,947.17,1.96,0.163,0.083,4.54,1.79
1.0,9,1,100,car,1077.003,941.581,1.616,0.031,0.019,4.8,1.89
1.0,10,1,100,car,1131.441,947.715,3.173,0.605,0.188,4.76,1.88
1.0,11,1,100,car,1120.168,944.999,2.128,0.364,0.17,4.63,1.97
1.0,12,1,100,car,1088.489,945.943,2.875,0.1669999999999999,0.058,4.78,1.98
1.0,13,1,100,car,1066.233,942.205,1.851,0.01,0.005,4.63,1.95
1.0,14,1,100,car,1113.062,943.854,2.044,0.407,0.197,4.65,1.82
1.0,15,1,100,car,1071.198,945.932,3.957,0.005,0.001,4.86,1.89
1.0,16,1,100,car,1058.407,942.327,1.596,-0.104,-0.065,4.27,1.81
1.0,17,1,100,car,1057.99,946.199,4.5310000000000015,-0.237,-0.052,4.53,1.87
1.0,18,1,100,car,1099.52,940.603,0.6920000000000001,0.134,0.192,4.62,1.83
1.0,19,1,100,car,1047.878,943.134,2.103,-0.196,-0.093,5.73,2.1
1.0,20,1,100,car,1091.406,939.425,1.3869999999999998,0.237,0.1689999999999999,4.65,1.82
1.0,21,1,100,car,1046.24,946.953,4.101,-0.472,-0.115,4.55,1.95
1.0,22,1,100,car,1036.826,944.997,2.045,-0.338,-0.1639999999999999,4.57,1.93
1.0,23,1,100,car,1035.455,948.597,3.105,-0.48,-0.153,4.72,1.91
1.0,24,1,100,car,1081.694,938.291,2.257,0.211,0.093,4.38,1.79
1.0,25,1,100,car,1071.124,938.081,2.886,-0.062,-0.021,4.85,1.83
1.0,26,1,100,car,1027.688,949.841,2.264,-0.424,-0.185,4.55,1.91
1.0,27,1,100,car,1022.438,947.03,2.3080000000000003,-0.488,-0.208,4.17,1.84
1.0,28,1,100,car,1055.357,938.21,4.309,-0.359,-0.083,7.92,2.6
1.0,29,1,100,car,1019.004,951.537,1.517,-0.311,-0.202,4.55,1.92
1.0,30,1,100,car,1011.66,949.496,1.509,-0.373,-0.242,4.46,1.84
1.0,31,1,100,car,1011.021,953.249,1.976,-0.5379999999999999,-0.266,4.64,1.98
1.0,1,2,200,car,1128.236,950.554,2.567,0.403,0.156,4.4,1.87
1.0,2,2,200,car,1104.205,943.798,0.8370000000000001,0.058,0.07,4.42,1.68
1.0,3,2,200,car,1095.164,942.932,0.0,0.0,0.097,4.56,1.75
1.0,4,2,200,car,1137.4260000000004,952.265,2.269,0.419,0.183,4.57,1.75
1.0,5,2,200,car,1119.581,948.938,2.307,0.304,0.131,4.98,1.96
1.0,6,2,200,car,1087.279,942.62,0.889,0.045,0.051,4.25,1.73
1.0,7,2,200,car,1111.136,948.1,2.335,0.316,0.135,4.53,1.79
1.0,8,2,200,car,1100.387,947.186,1.919,0.159,0.0819999999999999,4.54,1.79
