case_id,track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy,psi_rad,length,width
1.0,1,1,100,car,1017.793,975.634,2.491,2.177,0.718,4.19,1.77
1.0,2,1,100,car,1043.596,994.122,4.335,0.616,0.141,4.5,1.9
1.0,1,2,200,car,1018.034,975.861,2.473,2.197,0.726,4.19,1.77
1.0,2,2,200,car,1044.033,994.159,4.342,0.547,0.125,4.5,1.9
1.0,1,3,300,car,1018.272,976.09,2.453,2.216,0.735,4.19,1.77
1.0,2,3,300,car,1044.469,994.19,4.346,0.478,0.11,4.5,1.9
1.0,1,4,400,car,1018.509,976.32,2.433,2.233,0.743,4.19,1.77
1.0,2,4,400,car,1044.906,994.214,4.347,0.41,0.094,4.5,1.9
1.0,1,5,500,car,1018.744,976.552,2.412,2.249,0.751,4.19,1.77
1.0,2,5,500,car,1045.342,994.232,4.343,0.343,0.079,4.5,1.9
1.0,1,6,600,car,1018.977,976.786,2.389,2.264,0.759,4.19,1.77
1.0,2,6,600,car,1045.778,994.244,4.335,0.278,0.064,4.5,1.9
1.0,1,7,700,car,1019.208,977.021,2.367,2.279,0.766,4.19,1.77
1.0,2,7,700,car,1046.212,994.25,4.322,0.216,0.05,4.5,1.9
1.0,1,8,800,car,1019.436,977.257,2.345,2.293,0.774,4.19,1.77
1.0,2,8,800,car,1046.645,994.251,4.307,0.157,0.036,4.5,1.9
1.0,1,9,900,car,1019.662,977.495,2.324,2.308,0.782,4.19,1.77
1.0,2,9,900,car,1047.076,994.247,4.289,0.102,0.024,4.5,1.9
1.0,1,10,1000,car,1019.886,977.734,2.304,2.323,0.79,4.19,1.77
1.0,2,10,1000,car,1047.505,994.239,4.27,0.05,0.012,4.5,1.9
1.0,1,11,1100,car,1020.108,977.974,2.285,2.339,0.797,4.19,1.77
1.0,2,11,1100,car,1047.932,994.227,4.253,0.003,0.001,4.5,1.9
1.0,1,12,1200,car,1020.328,978.216,2.269,2.356,0.804,4.19,1.77
1.0,2,12,1200,car,1048.358,994.212,4.239,-0.041,-0.01,4.5,1.9
1.0,1,13,1300,car,1020.547,978.459,2.254,2.375,0.812,4.19,1.77
1.0,2,13,1300,car,1048.781,994.194,4.229,-0.08,-0.019,4.5,1.9
1.0,1,14,1400,car,1020.765,978.704,2.242,2.396,0.819,4.19,1.77
1.0,2,14,1400,car,1049.204,994.173,4.226,-0.117,-0.028,4.5,1.9
1.0,1,15,1500,car,1020.981,978.95,2.232,2.417,0.825,4.19,1.77
1.0,2,15,1500,car,1049.627,994.149,4.23,-0.15,-0.036,4.5,1.9
1.0,1,16,1600,car,1021.197,979.198,2.223,2.439,0.832,4.19,1.77
1.0,2,16,1600,car,1050.05,994.123,4.243,-0.181,-0.043,4.5,1.9
1.0,1,17,1700,car,1021.412,979.449,2.215,2.461,0.838,4.19,1.77
1.0,2,17,1700,car,1050.474,994.095,4.266,-0.21,-0.049,4.5,1.9
1.0,1,18,1800,car,1021.627,979.701,2.208,2.483,0.844,4.19,1.77
1.0,2,18,1800,car,1050.901,994.064,4.298,-0.237,-0.055,4.5,1.9
1.0,1,19,1900,car,1021.842,979.954,2.202,2.503,0.849,4.19,1.77
1.0,2,19,1900,car,1051.331,994.032,4.338,-0.263,-0.061,4.5,1.9
1.0,1,20,2000,car,1022.056,980.21,2.195,2.521,0.854,4.19,1.77
1.0,2,20,2000,car,1051.764,993.998,4.388,-0.287,-0.065,4.5,1.9
1.0,1,21,2100,car,1022.27,980.466,2.189,2.537,0.859,4.19,1.77
1.0,2,21,2100,car,1052.203,993.962,4.445,-0.311,-0.07,4.5,1.9
1.0,1,22,2200,car,1022.484,980.724,2.183,2.551,0.863,4.19,1.77
1.0,2,22,2200,car,1052.647,993.925,4.508,-0.333,-0.074,4.5,1.9
1.0,1,23,2300,car,1022.699,980.983,2.177,2.562,0.867,4.19,1.77
1.0,2,23,2300,car,1053.098,993.886,4.577,-0.354,-0.077,4.5,1.9
1.0,1,24,2400,car,1022.913,981.242,2.171,2.571,0.869,4.19,1.77
1.0,2,24,2400,car,1053.556,993.845,4.65,-0.374,-0.08,4.5,1.9
1.0,1,25,2500,car,1023.127,981.502,2.166,2.577,0.872,4.19,1.77
1.0,2,25,2500,car,1054.021,993.804,4.725,-0.393,-0.083,4.5,1.9
1.0,1,26,2600,car,1023.342,981.762,2.162,2.582,0.874,4.19,1.77
1.0,2,26,2600,car,1054.493,993.76,4.801,-0.411,-0.085,4.5,1.9
1.0,1,27,2700,car,1023.557,982.021,2.159,2.585,0.875,4.19,1.77
1.0,2,27,2700,car,1054.973,993.716,4.878,-0.427,-0.087,4.5,1.9
1.0,1,28,2800,car,1023.772,982.281,2.157,2.586,0.876,4.19,1.77
1.0,2,28,2800,car,1055.461,993.67,4.954,-0.442,-0.089,4.5,1.9
1.0,1,29,2900,car,1023.988,982.54,2.157,2.586,0.876,4.19,1.77
1.0,2,29,2900,car,1055.956,993.624,5.029,-0.455,-0.09,4.5,1.9
1.0,1,30,3000,car,1024.205,982.798,2.158,2.585,0.875,4.19,1.77
1.0,2,30,3000,car,1056.459,993.576,5.102,-0.467,-0.091,4.5,1.9
1.0,1,31,3100,car,1024.422,983.056,2.16,2.582,0.874,4.19,1.77
