case_id,track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy,psi_rad,length,width
1.0,1,1,100,car,915.329,1006.128,-9.943,0.758,3.066,4.28,1.83
1.0,2,1,100,car,929.931,1005.21,-8.674,0.259,3.112,4.3,1.87
1.0,3,1,100,car,947.447,1005.02,-9.132,-0.046,-3.137,4.63,1.81
1.0,4,1,100,car,957.172,1005.765,-8.86,-0.559,-3.079,4.15,1.8
1.0,5,1,100,car,969.492,1005.803,-9.162,-0.099,-3.131,4.59,1.87
1.0,6,1,100,car,981.352,1007.805,-9.153,0.313,3.107,4.08,1.7
1.0,7,1,100,car,991.913,1004.738,-8.555,0.509,3.082,3.94,1.73
1.0,8,1,100,car,1000.946,1007.054,-8.102,0.402,3.092,5.99,2.08
1.0,9,1,100,car,1008.887,1003.505,-7.36,0.855,3.026,4.63,1.9
1.0,1,2,200,car,914.335,1006.205,-10.002,0.774,3.064,4.28,1.83
1.0,2,2,200,car,929.064,1005.24,-8.644,0.284,3.109,4.3,1.87
1.0,3,2,200,car,946.534,1005.016,-9.115,-0.041,-3.137,4.63,1.81
1.0,4,2,200,car,956.286,1005.711,-8.829,-0.542,-3.08,4.15,1.8
1.0,5,2,200,car,968.576,1005.787,-9.137,-0.14,-3.126,4.59,1.87
1.0,6,2,200,car,980.437,1007.831,-9.08,0.27,3.112,4.08,1.7
1.0,7,2,200,car,991.057,1004.786,-8.55,0.486,3.085,3.94,1.73
1.0,8,2,200,car,1000.136,1007.092,-8.085,0.391,3.093,5.99,2.08
1.0,9,2,200,car,1008.151,1003.588,-7.349,0.843,3.027,4.63,1.9
1.0,1,3,300,car,913.335,1006.284,-10.056,0.787,3.063,4.28,1.83
1.0,2,3,300,car,928.2,1005.272,-8.617,0.309,3.106,4.3,1.87
1.0,3,3,300,car,945.623,1005.012,-9.098,-0.037,-3.137,4.63,1.81
1.0,4,3,300,car,955.403,1005.659,-8.798,-0.524,-3.082,4.15,1.8
1.0,5,3,300,car,967.663,1005.768,-9.11,-0.18,-3.122,4.59,1.87
1.0,6,3,300,car,979.529,1007.851,-9.005,0.225,3.117,4.08,1.7
1.0,7,3,300,car,990.202,1004.831,-8.54,0.464,3.087,3.94,1.73
1.0,8,3,300,car,999.328,1007.129,-8.066,0.382,3.094,5.99,2.08
1.0,9,3,300,car,1007.416,1003.67,-7.339,0.83,3.029,4.63,1.9
1.0,1,4,400,car,912.329,1006.363,-10.105,0.798,3.063,4.28,1.83
1.0,2,4,400,car,927.338,1005.307,-8.593,0.334,3.103,4.3,1.87
1.0,3,4,400,car,944.713,1005.009,-9.082,-0.034,-3.138,4.63,1.81
1.0,4,4,400,car,954.523,1005.61,-8.767,-0.504,-3.084,4.15,1.8
1.0,5,4,400,car,966.752,1005.744,-9.081,-0.216,-3.118,4.59,1.87
