case_id,track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy,psi_rad,length,width
1.0,1,1,100,car,975.526,1018.39,-6.443,2.463,2.776,11.97,2.59
1.0,2,1,100,car,992.275,1013.786,-6.08,0.793,3.012,4.27,1.76
1.0,3,1,100,car,1008.707,1009.604,-4.414,3.528,2.467,4.5,1.79
1.0,4,1,100,car,1014.267,994.852,4.014,1.194,0.289,9.86,2.6
1.0,5,1,100,car,1004.615,992.207,4.389,0.442,0.1,7.76,2.6
1.0,6,1,100,car,1021.065,1002.122,-5.748,2.118,2.789,4.13,1.75
1.0,1,2,200,car,974.887,1018.65,-6.428,2.503,2.77,11.97,2.59
1.0,2,2,200,car,991.668,1013.872,-6.077,0.829,3.006,4.27,1.76
1.0,3,2,200,car,1008.261,1009.954,-4.42,3.504,2.471,4.5,1.79
1.0,4,2,200,car,1014.68,994.94,4.035,1.127,0.272,9.86,2.6
1.0,5,2,200,car,1005.045,992.316,4.42,0.542,0.122,7.76,2.6
1.0,6,2,200,car,1020.495,1002.345,-5.699,2.165,2.778,4.13,1.75
1.0,2,3,300,car,991.061,1013.964,-6.078,0.872,2.999,4.27,1.76
1.0,3,3,300,car,1007.812,1010.298,-4.431,3.463,2.478,4.5,1.79
1.0,4,3,300,car,1015.095,995.02,4.07,1.06,0.255,9.86,2.6
1.0,5,3,300,car,1005.478,992.43,4.452,0.638,0.142,7.76,2.6
1.0,6,3,300,car,1019.93,1002.574,-5.648,2.217,2.768,4.13,1.75
1.0,2,4,400,car,990.454,1014.061,-6.082,0.922,2.991,4.27,1.76
1.0,3,4,400,car,1007.36,1010.635,-4.447,3.405,2.488,4.5,1.79
1.0,4,4,400,car,1015.512,995.091,4.124,0.995,0.237,9.86,2.6
1.0,5,4,400,car,1005.914,992.55,4.486,0.729,0.161,7.76,2.6
1.0,6,4,400,car,1019.37,1002.809,-5.595,2.272,2.756,4.13,1.75
1.0,2,5,500,car,989.847,1014.164,-6.09,0.978,2.982,4.27,1.76
1.0,3,5,500,car,1006.903,1010.963,-4.467,3.33,2.501,4.5,1.79
1.0,4,5,500,car,1015.933,995.155,4.195,0.93,0.218,9.86,2.6
1.0,5,5,500,car,1006.355,992.673,4.521,0.815,0.178,7.76,2.6
1.0,6,5,500,car,1018.816,1003.051,-5.541,2.331,2.743,4.13,1.75
1.0,2,6,600,car,989.24,1014.273,-6.102,1.04,2.973,4.27,1.76
1.0,3,6,600,car,1006.442,1011.28,-4.493,3.239,2.517,4.5,1.79
1.0,4,6,600,car,1016.361,995.212,4.284,0.865,0.199,9.86,2.6
1.0,5,6,600,car,1006.8,992.801,4.559,0.894,0.194,7.76,2.6
1.0,6,6,600,car,1018.268,1003.299,-5.485,2.392,2.73,4.13,1.75
1.0,2,7,700,car,988.631,1014.389,-6.117,1.105,2.963,4.27,1.76
1.0,3,7,700,car,1005.976,1011.584,-4.522,3.133,2.536,4.5,1.79
1.0,4,7,700,car,1016.796,995.262,4.389,0.799,0.18,9.86,2.6
1.0,5,7,700,car,1007.25,992.931,4.599,0.967,0.207,7.76,2.6
1.0,6,7,700,car,1017.727,1003.553,-5.429,2.454,2.717,4.13,1.75
1.0,2,8,800,car,988.022,1014.512,-6.136,1.175,2.952,4.27,1.76
1.0,3,8,800,car,1005.506,1011.875,-4.555,3.013,2.557,4.5,1.79
1.0,4,8,800,car,1017.24,995.304,4.505,0.73,0.161,9.86,2.6
1.0,5,8,800,car,1007.706,993.064,4.64,1.033,0.219,7.76,2.6
1.0,6,8,800,car,1017.191,1003.814,-5.371,2.517,2.703,4.13,1.75
1.0,2,9,900,car,987.411,1014.643,-6.157,1.248,2.942,4.27,1.76
1.0,3,9,900,car,1005.031,1012.15,-4.591,2.88,2.581,4.5,1.79
1.0,4,9,900,car,1017.696,995.339,4.629,0.657,0.141,9.86,2.6
1.0,5,9,900,car,1008.167,993.198,4.683,1.092,0.229,7.76,2.6
1.0,6,9,900,car,1016.661,1004.081,-5.311,2.579,2.69,4.13,1.75
1.0,2,10,1000,car,986.798,1014.78,-6.181,1.323,2.931,4.27,1.76
1.0,3,10,1000,car,1004.552,1012.408,-4.63,2.737,2.608,4.5,1.79
1.0,4,10,1000,car,1018.162,995.367,4.754,0.579,0.121,9.86,2.6
1.0,5,10,1000,car,1008.633,993.332,4.728,1.142,0.237,7.76,2.6
1.0,6,10,1000,car,1016.138,1004.355,-5.251,2.64,2.676,4.13,1.75
1.0,2,11,1100,car,986.182,1014.926,-6.207,1.399,2.92,4.27,1.76
1.0,3,11,1100,car,1004.068,1012.649,-4.673,2.584,2.636,4.5,1.79
1.0,4,11,1100,car,1018.641,995.386,4.874,0.496,0.101,9.86,2.6
1.0,5,11,1100,car,1009.106,993.467,4.775,1.185,0.243,7.76,2.6
1.0,6,11,1100,car,1015.62,1004.633,-5.191,2.698,2.662,4.13,1.75
1.0,2,12,1200,car,985.565,1015.078,-6.235,1.477,2.909,4.27,1.76
1.0,3,12,1200,car,1003.58,1012.871,-4.718,2.423,2.667,4.5,1.79
1.0,4,12,1200,car,1019.131,995.397,4.984,0.409,0.082,9.86,2.6
1.0,5,12,1200,car,1009.586,993.6,4.824,1.218,0.247,7.76,2.6
1.0,6,12,1200,car,1015.109,1004.917,-5.13,2.752,2.649,4.13,1.75
1.0,2,13,1300,car,984.944,1015.239,-6.263,1.555,2.898,4.27,1.76
1.0,3,13,1300,car,1003.087,1013.075,-4.768,2.255,2.7,4.5,1.79
1.0,4,13,1300,car,1019.631,995.399,5.081,0.318,0.063,9.86,2.6
1.0,5,13,1300,car,1010.072,993.731,4.876,1.244,0.25,7.76,2.6
1.0,6,13,1300,car,1014.603,1005.206,-5.071,2.802,2.637,4.13,1.75
1.0,2,14,1400,car,984.321,1015.407,-6.292,1.632,2.888,4.27,1.76
1.0,3,14,1400,car,1002.591,1013.258,-4.82,2.081,2.734,4.5,1.79
1.0,4,14,1400,car,1020.141,995.393,5.161,0.225,0.044,9.86,2.6
1.0,5,14,1400,car,1010.564,993.859,4.931,1.26,0.25,7.76,2.6
1.0,6,14,1400,car,1014.103,1005.499,-5.014,2.847,2.625,4.13,1.75
1.0,2,15,1500,car,983.695,1015.582,-6.32,1.709,2.878,4.27,1.76
