case_id,track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy,psi_rad,length,width
1.0,3,1,100,car,1014.327,986.526,0.0,0.0,3.017,3.95,1.89
1.0,4,1,100,car,995.669,987.141,-6.731,0.367,3.087,4.52,1.85
1.0,5,1,100,car,1001.973,1010.8,0.103,3.004,1.537,4.76,1.93
1.0,6,1,100,car,1001.482,997.319,0.366,3.235,1.458,4.87,1.91
1.0,7,1,100,car,1025.346,973.954,0.403,-1.831,-1.354,4.52,2.02
1.0,8,1,100,car,997.136,995.926,-0.025,-1.624,-1.586,4.54,1.98
1.0,9,1,100,car,981.801,983.772,2.253,-0.251,-0.111,4.84,1.97
1.0,10,1,100,car,1033.33,984.651,-4.192,-0.511,-3.02,4.54,1.93
1.0,11,1,100,car,997.4,1004.653,-0.059,-1.217,-1.619,4.73,1.93
1.0,12,1,100,car,1050.233,985.06,-4.996,0.127,3.116,4.95,2.06
1.0,13,1,100,car,972.936,984.287,2.305,-0.22,-0.095,5.4,2.1
1.0,14,1,100,car,998.196,1020.599,-0.062,-3.591,-1.588,4.27,1.81
1.0,15,1,100,car,1071.049,1017.669,-0.171,-4.122,-1.612,4.35,1.73
1.0,16,1,100,car,1095.444,983.977,-5.448,-0.059,-3.131,4.63,1.97
1.0,3,2,200,car,1014.327,986.526,0.0,0.0,3.017,3.95,1.89
1.0,4,2,200,car,994.996,987.179,-6.828,0.379,3.086,4.52,1.85
1.0,5,2,200,car,1001.988,1011.1,0.107,2.902,1.534,4.76,1.93
1.0,6,2,200,car,1001.512,997.645,0.354,3.25,1.462,4.87,1.91
1.0,7,2,200,car,1025.355,973.767,0.361,-1.816,-1.375,4.52,2.02
1.0,8,2,200,car,997.138,995.764,-0.02,-1.597,-1.583,4.54,1.98
1.0,9,2,200,car,982.027,983.743,2.334,-0.262,-0.112,4.84,1.97
1.0,10,2,200,car,1032.914,984.566,-4.132,-0.594,-2.999,4.54,1.93
1.0,11,2,200,car,997.396,1004.531,-0.057,-1.2,-1.618,4.73,1.93
1.0,12,2,200,car,1049.733,985.072,-4.964,0.124,3.117,4.95,2.06
1.0,13,2,200,car,973.167,984.267,2.372,-0.223,-0.094,5.4,2.1
1.0,14,2,200,car,998.189,1020.239,-0.064,-3.578,-1.589,4.27,1.81
1.0,15,2,200,car,1071.032,1017.257,-0.17,-4.117,-1.612,4.35,1.73
1.0,16,2,200,car,1094.899,983.97,-5.551,-0.066,-3.13,4.63,1.97
1.0,3,3,300,car,1014.327,986.526,0.0,0.0,3.017,3.95,1.89
1.0,4,3,300,car,994.314,987.219,-6.92,0.39,3.085,4.52,1.85
1.0,5,3,300,car,1002.002,1011.39,0.11,2.802,1.532,4.76,1.93
1.0,6,3,300,car,1001.543,997.972,0.344,3.257,1.466,4.87,1.91
1.0,7,3,300,car,1025.361,973.582,0.32,-1.799,-1.395,4.52,2.02
1.0,8,3,300,car,997.141,995.604,-0.014,-1.563,-1.58,4.54,1.98
1.0,9,3,300,car,982.262,983.715,2.393,-0.269,-0.112,4.84,1.97
1.0,10,3,300,car,1032.505,984.472,-4.073,-0.682,-2.976,4.54,1.93
1.0,11,3,300,car,997.392,1004.411,-0.055,-1.185,-1.617,4.73,1.93
1.0,12,3,300,car,1049.237,985.084,-4.935,0.122,3.117,4.95,2.06
1.0,13,3,300,car,973.404,984.247,2.442,-0.225,-0.092,5.4,2.1
1.0,14,3,300,car,998.182,1019.882,-0.065,-3.562,-1.589,4.27,1.81
1.0,15,3,300,car,1071.015,1016.845,-0.168,-4.105,-1.612,4.35,1.73
1.0,16,3,300,car,1094.344,983.963,-5.668,-0.074,-3.128,4.63,1.97
1.0,3,4,400,car,1014.327,986.526,0.0,0.0,3.017,3.95,1.89
1.0,4,4,400,car,993.622,987.259,-7.006,0.401,3.084,4.52,1.85
1.0,5,4,400,car,1002.016,1011.67,0.112,2.705,1.529,4.76,1.93
1.0,6,4,400,car,1001.573,998.3,0.335,3.257,1.468,4.87,1.91
1.0,7,4,400,car,1025.362,973.399,0.279,-1.78,-1.415,4.52,2.02
1.0,8,4,400,car,997.144,995.448,-0.009,-1.522,-1.577,4.54,1.98
1.0,9,4,400,car,982.502,983.688,2.426,-0.272,-0.112,4.84,1.97
1.0,10,4,400,car,1032.103,984.366,-4.012,-0.773,-2.951,4.54,1.93
1.0,11,4,400,car,997.389,1004.293,-0.053,-1.169,-1.616,4.73,1.93
1.0,12,4,400,car,1048.744,985.096,-4.91,0.121,3.117,4.95,2.06
1.0,13,4,400,car,973.649,984.227,2.513,-0.227,-0.09,5.4,2.1
1.0,14,4,400,car,998.175,1019.526,-0.067,-3.543,-1.59,4.27,1.81
1.0,15,4,400,car,1070.999,1016.434,-0.166,-4.087,-1.611,4.35,1.73
1.0,16,4,400,car,1093.777,983.954,-5.791,-0.084,-3.127,4.63,1.97
1.0,3,5,500,car,1014.327,986.526,0.0,0.0,3.017,3.95,1.89
1.0,4,5,500,car,992.921,987.301,-7.088,0.412,3.084,4.52,1.85
1.0,5,5,500,car,1002.03,1011.94,0.113,2.613,1.527,4.76,1.93
1.0,6,5,500,car,1001.603,998.627,0.328,3.25,1.47,4.87,1.91
1.0,7,5,500,car,1025.36,973.219,0.24,-1.759,-1.435,4.52,2.02
1.0,8,5,500,car,997.149,995.296,-0.004,-1.476,-1.573,4.54,1.98
1.0,9,5,500,car,982.746,983.661,2.434,-0.27,-0.11,4.84,1.97
1.0,10,5,500,car,1031.708,984.249,-3.95,-0.868,-2.925,4.54,1.93
1.0,11,5,500,car,997.385,1004.176,-0.051,-1.153,-1.615,4.73,1.93
1.0,12,5,500,car,1048.253,985.108,-4.89,0.121,3.117,4.95,2.06
1.0,13,5,500,car,973.9,984.207,2.58,-0.229,-0.088,5.4,2.1
1.0,14,5,500,car,998.167,1019.171,-0.068,-3.523,-1.59,4.27,1.81
1.0,15,5,500,car,1070.983,1016.026,-0.164,-4.061,-1.611,4.35,1.73
1.0,16,5,500,car,1093.198,983.944,-5.916,-0.094,-3.126,4.63,1.97
1.0,3,6,600,car,1014.327,986.526,0.0,0.0,3.017,3.95,1.89
1.0,4,6,600,car,992.212,987.343,-7.166,0.422,3.083,4.52,1.85
1.0,5,6,600,car,1002.045,1012.201,0.114,2.527,1.526,4.76,1.93
1.0,6,6,600,car,1001.634,998.954,0.321,3.236,1.472,4.87,1.91
1.0,7,6,600,car,1025.354,973.042,0.202,-1.736,-1.455,4.52,2.02
1.0,8,6,600,car,997.153,995.148,0.001,-1.426,-1.57,4.54,1.98
1.0,9,6,600,car,982.99,983.636,2.417,-0.264,-0.109,4.84,1.97
1.0,10,6,600,car,1031.322,984.121,-3.884,-0.966,-2.898,4.54,1.93
1.0,11,6,600,car,997.382,1004.06,-0.049,-1.136,-1.613,4.73,1.93
1.0,12,6,600,car,1047.763,985.121,-4.876,0.122,3.117,4.95,2.06
1.0,13,6,600,car,974.158,984.186,2.641,-0.229,-0.087,5.4,2.1
1.0,14,6,600,car,998.16,1018.819,-0.07,-3.502,-1.591,4.27,1.81
1.0,15,6,600,car,1070.967,1015.62,-0.161,-4.029,-1.611,4.35,1.73
1.0,16,6,600,car,1092.606,983.933,-6.037,-0.104,-3.124,4.63,1.97
1.0,3,7,700,car,1014.327,986.526,0.0,0.0,3.017,3.95,1.89
1.0,4,7,700,car,991.496,987.387,-7.241,0.433,3.082,4.52,1.85
1.0,5,7,700,car,1002.058,1012.454,0.115,2.447,1.524,4.76,1.93
1.0,6,7,700,car,1001.664,999.279,0.315,3.219,1.473,4.87,1.91
1.0,7,7,700,car,1025.345,972.867,0.165,-1.713,-1.475,4.52,2.02
1.0,8,7,700,car,997.159,995.006,0.006,-1.372,-1.567,4.54,1.98
1.0,9,7,700,car,983.233,983.612,2.377,-0.255,-0.107,4.84,1.97
1.0,10,7,700,car,1030.944,983.981,-3.815,-1.066,-2.869,4.54,1.93
1.0,11,7,700,car,997.379,1003.947,-0.047,-1.116,-1.612,4.73,1.93
1.0,12,7,700,car,1047.276,985.134,-4.867,0.125,3.116,4.95,2.06
1.0,13,7,700,car,974.423,984.166,2.693,-0.229,-0.085,5.4,2.1
1.0,14,7,700,car,998.152,1018.469,-0.071,-3.478,-1.591,4.27,1.81
1.0,15,7,700,car,1070.952,1015.217,-0.158,-3.99,-1.61,4.35,1.73
1.0,16,7,700,car,1092.002,983.921,-6.153,-0.114,-3.123,4.63,1.97
1.0,3,8,800,car,1014.327,986.526,0.0,0.0,3.017,3.95,1.89
1.0,4,8,800,car,990.772,987.431,-7.313,0.443,3.081,4.52,1.85
1.0,5,8,800,car,1002.072,1012.698,0.115,2.375,1.522,4.76,1.93
1.0,6,8,800,car,1001.695,999.601,0.31,3.198,1.474,4.87,1.91
1.0,7,8,800,car,1025.332,972.696,0.13,-1.689,-1.494,4.52,2.02
1.0,8,8,800,car,997.165,994.868,0.01,-1.315,-1.563,4.54,1.98
1.0,9,8,800,car,983.471,983.59,2.315,-0.244,-0.105,4.84,1.97
1.0,10,8,800,car,1030.575,983.83,-3.741,-1.166,-2.839,4.54,1.93
1.0,11,8,800,car,997.375,1003.835,-0.044,-1.093,-1.611,4.73,1.93
1.0,12,8,800,car,1046.789,985.147,-4.864,0.128,3.115,4.95,2.06
1.0,13,8,800,car,974.692,984.146,2.732,-0.228,-0.083,5.4,2.1
1.0,14,8,800,car,998.144,1018.121,-0.073,-3.453,-1.592,4.27,1.81
1.0,15,8,800,car,1070.936,1014.817,-0.156,-3.946,-1.61,4.35,1.73
1.0,16,8,800,car,1091.387,983.907,-6.261,-0.124,-3.122,4.63,1.97
1.0,3,9,900,car,1014.327,986.526,0.0,0.0,3.017,3.95,1.89
1.0,4,9,900,car,990.041,987.477,-7.383,0.453,3.08,4.52,1.85
1.0,5,9,900,car,1002.086,1012.936,0.115,2.311,1.521,4.76,1.93
1.0,6,9,900,car,1001.724,999.922,0.305,3.176,1.475,4.87,1.91
1.0,7,9,900,car,1025.315,972.527,0.096,-1.665,-1.513,4.52,2.02
1.0,8,9,900,car,997.171,994.737,0.014,-1.258,-1.56,4.54,1.98
1.0,9,9,900,car,983.703,983.569,2.236,-0.231,-0.103,4.84,1.97
1.0,10,9,900,car,1030.215,983.668,-3.661,-1.267,-2.808,4.54,1.93
1.0,11,9,900,car,997.372,1003.726,-0.042,-1.065,-1.611,4.73,1.93
1.0,12,9,900,car,1046.303,985.161,-4.866,0.133,3.114,4.95,2.06
1.0,13,9,900,car,974.966,984.125,2.756,-0.225,-0.081,5.4,2.1
1.0,14,9,900,car,998.136,1017.776,-0.074,-3.427,-1.592,4.27,1.81
1.0,15,9,900,car,1070.921,1014.423,-0.154,-3.896,-1.61,4.35,1.73
1.0,16,9,900,car,1090.761,983.893,-6.36,-0.134,-3.121,4.63,1.97
1.0,3,10,1000,car,1014.327,986.526,0.0,0.0,3.017,3.95,1.89
1.0,4,10,1000,car,989.302,987.523,-7.45,0.463,3.08,4.52,1.85
1.0,5,10,1000,car,1002.099,1013.167,0.115,2.253,1.52,4.76,1.93
1.0,6,10,1000,car,1001.754,1000.24,0.3,3.153,1.476,4.87,1.91
1.0,7,10,1000,car,1025.296,972.361,0.063,-1.641,-1.533,4.52,2.02
1.0,8,10,1000,car,997.178,994.611,0.018,-1.202,-1.556,4.54,1.98
1.0,9,10,1000,car,983.928,983.55,2.141,-0.217,-0.101,4.84,1.97
1.0,10,10,1000,car,1029.865,983.496,-3.574,-1.365,-2.777,4.54,1.93
1.0,11,10,1000,car,997.369,1003.619,-0.04,-1.031,-1.61,4.73,1.93
1.0,12,10,1000,car,1045.816,985.176,-4.873,0.138,3.113,4.95,2.06
1.0,13,10,1000,car,975.242,984.105,2.764,-0.221,-0.08,5.4,2.1
1.0,14,10,1000,car,998.128,1017.433,-0.075,-3.398,-1.593,4.27,1.81
1.0,15,10,1000,car,1070.905,1014.033,-0.153,-3.841,-1.611,4.35,1.73
1.0,16,10,1000,car,1090.125,983.879,-6.451,-0.141,-3.12,4.63,1.97
1.0,3,11,1100,car,1014.327,986.526,0.0,0.0,3.017,3.95,1.89
1.0,4,11,1100,car,988.558,987.57,-7.514,0.472,3.079,4.52,1.85
1.0,5,11,1100,car,1002.112,1013.392,0.114,2.202,1.519,4.76,1.93
1.0,6,11,1100,car,1001.783,1000.555,0.295,3.132,1.477,4.87,1.91
1.0,7,11,1100,car,1025.273,972.199,0.031,-1.617,-1.552,4.52,2.02
1.0,8,11,1100,car,997.185,994.491,0.021,-1.149,-1.552,4.54,1.98
1.0,9,11,1100,car,984.142,983.532,2.036,-0.202,-0.099,4.84,1.97
1.0,10,11,1100,car,1029.527,983.313,-3.481,-1.461,-2.744,4.54,1.93
1.0,11,11,1100,car,997.367,1003.516,-0.038,-0.992,-1.609,4.73,1.93
1.0,12,11,1100,car,1045.329,985.192,-4.885,0.144,3.112,4.95,2.06
1.0,13,11,1100,car,975.518,984.085,2.754,-0.216,-0.078,5.4,2.1
1.0,14,11,1100,car,998.119,1017.093,-0.076,-3.369,-1.593,4.27,1.81
1.0,15,11,1100,car,1070.889,1013.649,-0.154,-3.781,-1.611,4.35,1.73
1.0,16,11,1100,car,1089.48,983.864,-6.533,-0.146,-3.119,4.63,1.97
1.0,3,12,1200,car,1014.327,986.526,0.0,0.0,3.017,3.95,1.89
1.0,4,12,1200,car,987.806,987.618,-7.574,0.481,3.078,4.52,1.85
1.0,5,12,1200,car,1002.124,1013.612,0.114,2.158,1.518,4.76,1.93
1.0,6,12,1200,car,1001.811,1000.869,0.29,3.114,1.478,4.87,1.91
1.0,7,12,1200,car,1025.247,972.039,-0.0,-1.595,-1.571,4.52,2.02
1.0,8,12,1200,car,997.193,994.377,0.025,-1.1,-1.548,4.54,1.98
1.0,9,12,1200,car,984.346,983.515,1.923,-0.188,-0.097,4.84,1.97
1.0,10,12,1200,car,1029.2,983.12,-3.381,-1.553,-2.711,4.54,1.93
1.0,11,12,1200,car,997.364,1003.417,-0.035,-0.947,-1.608,4.73,1.93
1.0,12,12,1200,car,1044.84,985.208,-4.902,0.151,3.111,4.95,2.06
1.0,13,12,1200,car,975.794,984.066,2.726,-0.211,-0.077,5.4,2.1
1.0,14,12,1200,car,998.111,1016.756,-0.077,-3.338,-1.594,4.27,1.81
1.0,15,12,1200,car,1070.872,1013.271,-0.156,-3.717,-1.613,4.35,1.73
1.0,16,12,1200,car,1088.826,983.849,-6.607,-0.149,-3.119,4.63,1.97
1.0,3,13,1300,car,1014.327,986.526,0.0,0.0,3.017,3.95,1.89
1.0,4,13,1300,car,987.049,987.667,-7.631,0.488,3.078,4.52,1.85
1.0,5,13,1300,car,1002.137,1013.828,0.113,2.12,1.517,4.76,1.93
1.0,6,13,1300,car,1001.838,1001.18,0.286,3.097,1.479,4.87,1.91
1.0,7,13,1300,car,1025.218,971.882,-0.03,-1.575,-1.59,4.52,2.02
1.0,8,13,1300,car,997.201,994.267,0.028,-1.057,-1.545,4.54,1.98
1.0,9,13,1300,car,984.539,983.499,1.807,-0.174,-0.096,4.84,1.97
1.0,10,13,1300,car,1028.885,982.919,-3.274,-1.639,-2.677,4.54,1.93
1.0,11,13,1300,car,997.361,1003.322,-0.033,-0.895,-1.608,4.73,1.93
1.0,12,13,1300,car,1044.35,985.225,-4.921,0.158,3.11,4.95,2.06
1.0,13,13,1300,car,976.066,984.046,2.681,-0.205,-0.076,5.4,2.1
1.0,14,13,1300,car,998.102,1016.422,-0.078,-3.306,-1.594,4.27,1.81
1.0,15,13,1300,car,1070.853,1012.899,-0.16,-3.649,-1.615,4.35,1.73
