case_id,track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy,psi_rad,length,width
1.0,1,1,100,car,966.964,1000.491,-9.592,1.832,2.953,4.78,1.8
1.0,2,1,100,car,992.382,1006.873,-0.063,-0.484,-1.7,5.1,2.1
1.0,3,1,100,car,1028.753,1006.797,-0.066,-0.273,-1.807,4.68,2.06
1.0,4,1,100,car,992.417,975.302,0.0,0.0,1.635,4.42,1.79
1.0,5,1,100,car,1026.041,997.507,0.0,0.0,-1.805,4.52,1.99
1.0,6,1,100,car,992.824,980.94,0.0,0.0,1.392,4.39,1.69
1.0,7,1,100,car,985.752,975.633,2.228,-7.763,-1.291,4.58,1.81
1.0,8,1,100,car,997.669,990.57,10.705,-2.025,-0.187,4.07,1.71
1.0,9,1,100,car,996.836,995.688,-8.261,1.561,2.955,5.08,1.87
1.0,10,1,100,car,1020.818,1004.831,-0.904,-1.636,-2.076,4.96,1.98
1.0,11,1,100,car,967.666,996.437,10.807,-2.011,-0.184,4.69,1.85
1.0,12,1,100,car,1027.904,990.224,-4.784,0.851,2.966,4.38,1.85
1.0,13,1,100,car,939.823,1000.199,11.543,-2.898,-0.246,4.73,1.83
1.0,1,2,200,car,966.005,1000.674,-9.693,1.851,2.953,4.78,1.8
1.0,2,2,200,car,992.379,1006.824,-0.06,-0.466,-1.698,5.1,2.1
1.0,3,2,200,car,1028.748,1006.77,-0.068,-0.281,-1.807,4.68,2.06
1.0,4,2,200,car,992.417,975.302,0.0,0.0,1.635,4.42,1.79
1.0,5,2,200,car,1026.041,997.507,0.0,0.0,-1.805,4.52,1.99
1.0,6,2,200,car,992.824,980.94,0.0,0.0,1.392,4.39,1.69
1.0,7,2,200,car,985.956,974.85,2.163,-7.919,-1.304,4.58,1.81
1.0,8,2,200,car,998.74,990.369,10.75,-2.02,-0.186,4.07,1.71
1.0,9,2,200,car,996.01,995.844,-8.361,1.579,2.955,5.08,1.87
1.0,10,2,200,car,1020.724,1004.669,-0.83,-1.491,-2.079,4.96,1.98
1.0,11,2,200,car,968.747,996.237,10.863,-2.015,-0.183,4.69,1.85
1.0,12,2,200,car,1027.425,990.311,-4.755,0.853,2.964,4.38,1.85
1.0,13,2,200,car,940.977,999.909,11.523,-2.892,-0.246,4.73,1.83
1.0,1,3,300,car,965.035,1000.859,-9.789,1.869,2.953,4.78,1.8
1.0,2,3,300,car,992.376,1006.778,-0.056,-0.446,-1.697,5.1,2.1
1.0,3,3,300,car,1028.741,1006.742,-0.069,-0.289,-1.806,4.68,2.06
1.0,4,3,300,car,992.417,975.302,0.0,0.0,1.635,4.42,1.79
1.0,5,3,300,car,1026.041,997.507,0.0,0.0,-1.805,4.52,1.99
1.0,6,3,300,car,992.824,980.94,0.0,0.0,1.392,4.39,1.69
1.0,7,3,300,car,986.157,974.053,2.106,-8.061,-1.315,4.58,1.81
1.0,8,3,300,car,999.815,990.169,10.79,-2.012,-0.184,4.07,1.71
1.0,9,3,300,car,995.174,996.002,-8.457,1.598,2.955,5.08,1.87
1.0,10,3,300,car,1020.638,1004.522,-0.756,-1.349,-2.082,4.96,1.98
1.0,11,3,300,car,969.834,996.036,10.92,-2.018,-0.183,4.69,1.85
1.0,12,3,300,car,1026.95,990.398,-4.741,0.858,2.962,4.38,1.85
1.0,13,3,300,car,942.13,999.62,11.5,-2.884,-0.246,4.73,1.83
1.0,1,4,400,car,964.056,1001.046,-9.882,1.884,2.953,4.78,1.8
1.0,2,4,400,car,992.374,1006.733,-0.053,-0.423,-1.695,5.1,2.1
1.0,3,4,400,car,1028.735,1006.713,-0.071,-0.296,-1.806,4.68,2.06
1.0,4,4,400,car,992.417,975.302,0.0,0.0,1.635,4.42,1.79
1.0,5,4,400,car,1026.041,997.507,0.0,0.0,-1.805,4.52,1.99
1.0,6,4,400,car,992.824,980.94,0.0,0.0,1.392,4.39,1.69
1.0,7,4,400,car,986.354,973.243,2.058,-8.185,-1.324,4.58,1.81
1.0,8,4,400,car,1000.895,989.969,10.826,-2.002,-0.183,4.07,1.71
1.0,9,4,400,car,994.329,996.162,-8.549,1.616,2.955,5.08,1.87
1.0,10,4,400,car,1020.559,1004.389,-0.682,-1.21,-2.084,4.96,1.98
1.0,11,4,400,car,970.926,995.835,10.978,-2.022,-0.182,4.69,1.85
1.0,12,4,400,car,1026.477,990.486,-4.741,0.867,2.961,4.38,1.85
1.0,13,4,400,car,943.28,999.332,11.476,-2.875,-0.245,4.73,1.83
1.0,1,5,500,car,963.068,1001.233,-9.97,1.897,2.954,4.78,1.8
1.0,2,5,500,car,992.371,1006.69,-0.049,-0.4,-1.693,5.1,2.1
1.0,3,5,500,car,1028.729,1006.683,-0.072,-0.302,-1.805,4.68,2.06
1.0,4,5,500,car,992.417,975.302,0.0,0.0,1.635,4.42,1.79
1.0,5,5,500,car,1026.041,997.507,0.0,0.0,-1.805,4.52,1.99
1.0,6,5,500,car,992.824,980.94,0.0,0.0,1.392,4.39,1.69
1.0,7,5,500,car,986.549,972.421,2.017,-8.29,-1.332,4.58,1.81
1.0,8,5,500,car,1001.978,989.771,10.859,-1.99,-0.181,4.07,1.71
1.0,9,5,500,car,993.474,996.324,-8.636,1.633,2.955,5.08,1.87
1.0,10,5,500,car,1020.487,1004.27,-0.609,-1.074,-2.087,4.96,1.98
1.0,11,5,500,car,972.024,995.634,11.035,-2.025,-0.182,4.69,1.85
1.0,12,5,500,car,1026.003,990.575,-4.752,0.877,2.959,4.38,1.85
1.0,13,5,500,car,944.427,999.045,11.451,-2.863,-0.245,4.73,1.83
1.0,1,6,600,car,962.071,1001.422,-10.054,1.908,2.954,4.78,1.8
1.0,2,6,600,car,992.369,1006.65,-0.045,-0.376,-1.691,5.1,2.1
1.0,3,6,600,car,1028.722,1006.653,-0.073,-0.308,-1.805,4.68,2.06
1.0,4,6,600,car,992.417,975.302,0.0,0.0,1.635,4.42,1.79
1.0,5,6,600,car,1026.041,997.507,0.0,0.0,-1.805,4.52,1.99
1.0,6,6,600,car,992.824,980.94,0.0,0.0,1.392,4.39,1.69
1.0,7,6,600,car,986.741,971.589,1.982,-8.375,-1.338,4.58,1.81
1.0,8,6,600,car,1003.064,989.574,10.89,-1.976,-0.18,4.07,1.71
1.0,9,6,600,car,992.61,996.487,-8.718,1.649,2.955,5.08,1.87
1.0,10,6,600,car,1020.424,1004.164,-0.538,-0.943,-2.089,4.96,1.98
1.0,11,6,600,car,973.127,995.433,11.091,-2.028,-0.181,4.69,1.85
1.0,12,6,600,car,1025.528,990.665,-4.772,0.89,2.957,4.38,1.85
1.0,13,6,600,car,945.573,998.76,11.428,-2.849,-0.244,4.73,1.83
1.0,1,7,700,car,961.065,1001.612,-10.136,1.917,2.955,4.78,1.8
1.0,2,7,700,car,992.368,1006.612,-0.042,-0.353,-1.689,5.1,2.1
1.0,3,7,700,car,1028.716,1006.622,-0.075,-0.315,-1.804,4.68,2.06
1.0,4,7,700,car,992.417,975.302,0.0,0.0,1.635,4.42,1.79
1.0,5,7,700,car,1026.041,997.507,0.0,0.0,-1.805,4.52,1.99
1.0,6,7,700,car,992.824,980.94,0.0,0.0,1.392,4.39,1.69
1.0,7,7,700,car,986.932,970.749,1.95,-8.438,-1.344,4.58,1.81
1.0,8,7,700,car,1004.153,989.378,10.921,-1.962,-0.178,4.07,1.71
1.0,9,7,700,car,991.738,996.652,-8.794,1.664,2.955,5.08,1.87
