case_id,track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy,psi_rad,length,width
1.0,1,1,100,car,1005.989,999.625,6.367,-0.23,-0.036,4.31,1.48
1.0,2,1,100,car,995.623,999.741,2.274,-0.183,-0.08,4.42,1.55
1.0,3,1,100,car,1013.254,987.286,-0.338,-10.504,-1.603,4.43,1.61
1.0,4,1,100,car,1006.417,1003.887,5.523,-0.006,-0.001,4.23,1.57
1.0,5,1,100,car,1038.81,998.706,3.423,3.414,0.784,4.07,1.61
1.0,6,1,100,car,1012.748,1016.393,-0.005,-1.399,-1.575,4.16,1.54
1.0,7,1,100,car,1010.29,974.216,0.203,-10.764,-1.552,3.92,1.57
1.0,8,1,100,car,991.987,1004.32,1.367,-0.049,-0.036,4.31,1.61
1.0,9,1,100,car,1026.968,987.652,-0.047,0.575,1.653,4.25,1.59
1.0,10,1,100,car,984.844,1000.444,1.057,-0.053,-0.051,5.04,1.59
1.0,11,1,100,car,1009.477,1019.386,0.004,-0.353,-1.558,4.41,1.61
1.0,12,1,100,car,985.549,1004.324,0.452,-0.005,-0.011,3.9,1.48
1.0,13,1,100,car,1016.628,1023.723,0.739,-5.504,-1.437,4.12,1.49
1.0,14,1,100,car,974.707,1000.798,2.763,-0.115,-0.041,4.13,1.45
1.0,15,1,100,car,974.56,1004.783,2.25,-0.102,-0.045,4.51,1.63
1.0,1,2,200,car,1006.626,999.606,6.65,-0.219,-0.033,4.31,1.48
1.0,2,2,200,car,995.85,999.725,2.19,-0.171,-0.078,4.42,1.55
1.0,3,2,200,car,1013.215,986.236,-0.384,-10.61,-1.607,4.43,1.61
1.0,4,2,200,car,1006.969,1003.888,5.677,0.0,0.0,4.23,1.57
1.0,5,2,200,car,1039.185,999.011,3.605,3.304,0.742,4.07,1.61
1.0,6,2,200,car,1012.746,1016.253,-0.007,-1.249,-1.576,4.16,1.54
1.0,8,2,200,car,992.124,1004.315,1.486,-0.052,-0.035,4.31,1.61
1.0,9,2,200,car,1026.962,987.709,-0.052,0.624,1.654,4.25,1.59
1.0,10,2,200,car,984.95,1000.438,1.139,-0.058,-0.051,5.04,1.59
1.0,11,2,200,car,1009.477,1019.351,0.006,-0.456,-1.558,4.41,1.61
1.0,12,2,200,car,985.594,1004.324,0.467,-0.005,-0.011,3.9,1.48
1.0,13,2,200,car,1016.699,1023.173,0.699,-5.307,-1.44,4.12,1.49
1.0,14,2,200,car,974.983,1000.785,2.763,-0.117,-0.042,4.13,1.45
1.0,15,2,200,car,974.785,1004.772,2.143,-0.098,-0.046,4.51,1.63
1.0,1,3,300,car,1007.291,999.588,6.93,-0.207,-0.03,4.31,1.48
1.0,2,3,300,car,996.07,999.711,2.093,-0.159,-0.076,4.42,1.55
1.0,3,3,300,car,1013.172,985.175,-0.427,-10.708,-1.611,4.43,1.61
1.0,4,3,300,car,1007.537,1003.889,5.82,0.006,0.001,4.23,1.57
1.0,5,3,300,car,1039.577,999.303,3.785,3.187,0.7,4.07,1.61
1.0,6,3,300,car,1012.743,1016.128,-0.007,-1.099,-1.577,4.16,1.54
1.0,8,3,300,car,992.273,1004.311,1.602,-0.054,-0.034,4.31,1.61
1.0,9,3,300,car,1026.955,987.771,-0.057,0.675,1.655,4.25,1.59
1.0,10,3,300,car,985.063,1000.432,1.224,-0.063,-0.052,5.04,1.59
1.0,11,3,300,car,1009.478,1019.305,0.007,-0.57,-1.559,4.41,1.61
1.0,12,3,300,car,985.64,1004.323,0.485,-0.005,-0.011,3.9,1.48
1.0,13,3,300,car,1016.765,1022.641,0.66,-5.109,-1.442,4.12,1.49
1.0,14,3,300,car,975.26,1000.773,2.748,-0.119,-0.043,4.13,1.45
1.0,15,3,300,car,974.999,1004.762,2.034,-0.094,-0.046,4.51,1.63
1.0,1,4,400,car,1007.984,999.571,7.204,-0.195,-0.027,4.31,1.48
1.0,2,4,400,car,996.279,999.697,1.984,-0.148,-0.074,4.42,1.55
1.0,3,4,400,car,1013.125,984.105,-0.468,-10.795,-1.614,4.43,1.61
1.0,4,4,400,car,1008.119,1003.891,5.953,0.012,0.002,4.23,1.57
1.0,5,4,400,car,1039.986,999.583,3.964,3.061,0.658,4.07,1.61
1.0,6,4,400,car,1012.74,1016.018,-0.008,-0.952,-1.579,4.16,1.54
1.0,8,4,400,car,992.433,1004.306,1.711,-0.056,-0.033,4.31,1.61
1.0,9,4,400,car,1026.948,987.839,-0.062,0.727,1.656,4.25,1.59
1.0,10,4,400,car,985.186,1000.424,1.311,-0.069,-0.053,5.04,1.59
1.0,11,4,400,car,1009.479,1019.248,0.008,-0.696,-1.559,4.41,1.61
1.0,12,4,400,car,985.689,1004.323,0.505,-0.006,-0.011,3.9,1.48
1.0,13,4,400,car,1016.829,1022.13,0.623,-4.911,-1.445,4.12,1.49
1.0,14,4,400,car,975.534,1000.759,2.719,-0.121,-0.044,4.13,1.45
1.0,15,4,400,car,975.202,1004.753,1.927,-0.09,-0.047,4.51,1.63
1.0,1,5,500,car,1008.705,999.556,7.473,-0.183,-0.024,4.31,1.48
1.0,2,5,500,car,996.478,999.684,1.866,-0.136,-0.073,4.42,1.55
1.0,3,5,500,car,1013.074,983.025,-0.504,-10.871,-1.617,4.43,1.61
1.0,4,5,500,car,1008.714,1003.893,6.075,0.017,0.003,4.23,1.57
1.0,5,5,500,car,1040.41,999.849,4.138,2.929,0.616,4.07,1.61
1.0,6,5,500,car,1012.736,1015.923,-0.008,-0.81,-1.58,4.16,1.54
1.0,8,5,500,car,992.604,1004.302,1.812,-0.056,-0.031,4.31,1.61
1.0,9,5,500,car,1026.94,987.911,-0.068,0.78,1.658,4.25,1.59
1.0,10,5,500,car,985.317,1000.416,1.402,-0.075,-0.054,5.04,1.59
1.0,11,5,500,car,1009.48,1019.179,0.01,-0.832,-1.559,4.41,1.61
1.0,12,5,500,car,985.739,1004.322,0.528,-0.006,-0.011,3.9,1.48
1.0,13,5,500,car,1016.888,1021.639,0.587,-4.714,-1.447,4.12,1.49
1.0,14,5,500,car,975.806,1000.746,2.676,-0.122,-0.045,4.13,1.45
1.0,15,5,500,car,975.395,1004.743,1.825,-0.086,-0.047,4.51,1.63
1.0,1,6,600,car,1009.452,999.541,7.734,-0.171,-0.022,4.31,1.48
1.0,2,6,600,car,996.664,999.672,1.743,-0.124,-0.071,4.42,1.55
1.0,3,6,600,car,1013.02,981.938,-0.536,-10.934,-1.62,4.43,1.61
1.0,4,6,600,car,1009.321,1003.896,6.188,0.023,0.004,4.23,1.57
1.0,5,6,600,car,1040.85,1000.101,4.307,2.791,0.575,4.07,1.61
1.0,6,6,600,car,1012.733,1015.842,-0.007,-0.676,-1.581,4.16,1.54
1.0,8,6,600,car,992.785,1004.298,1.904,-0.056,-0.029,4.31,1.61
1.0,9,6,600,car,1026.932,987.989,-0.074,0.834,1.659,4.25,1.59
1.0,10,6,600,car,985.457,1000.407,1.494,-0.082,-0.055,5.04,1.59
1.0,11,6,600,car,1009.481,1019.096,0.012,-0.98,-1.559,4.41,1.61
1.0,12,6,600,car,985.792,1004.321,0.554,-0.006,-0.011,3.9,1.48
1.0,13,6,600,car,1016.944,1021.167,0.554,-4.518,-1.449,4.12,1.49
1.0,14,6,600,car,976.074,1000.733,2.623,-0.122,-0.047,4.13,1.45
1.0,15,6,600,car,975.577,1004.734,1.731,-0.083,-0.048,4.51,1.63
1.0,1,7,700,car,1010.226,999.527,7.988,-0.159,-0.02,4.31,1.48
1.0,2,7,700,car,996.839,999.661,1.615,-0.113,-0.07,4.42,1.55
1.0,3,7,700,car,1012.963,980.845,-0.563,-10.984,-1.622,4.43,1.61
1.0,4,7,700,car,1009.94,1003.899,6.294,0.027,0.004,4.23,1.57
1.0,5,7,700,car,1041.304,1000.34,4.469,2.65,0.535,4.07,1.61
1.0,6,7,700,car,1012.731,1015.774,-0.006,-0.549,-1.583,4.16,1.54
1.0,8,7,700,car,992.976,1004.295,1.983,-0.055,-0.028,4.31,1.61
1.0,9,7,700,car,1026.922,988.072,-0.08,0.888,1.661,4.25,1.59
1.0,10,7,700,car,985.606,1000.397,1.588,-0.089,-0.056,5.04,1.59
1.0,11,7,700,car,1009.482,1018.998,0.013,-1.137,-1.559,4.41,1.61
1.0,12,7,700,car,985.848,1004.321,0.582,-0.007,-0.011,3.9,1.48
1.0,13,7,700,car,1016.998,1020.715,0.522,-4.324,-1.451,4.12,1.49
1.0,14,7,700,car,976.336,1000.719,2.561,-0.122,-0.048,4.13,1.45
1.0,15,7,700,car,975.751,1004.725,1.646,-0.079,-0.048,4.51,1.63
