case_id,track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy,psi_rad,length,width
1.0,2,1,100,pedestrian/bicycle,1055.085,1010.425,0.456,-1.122,,,
1.0,3,1,100,pedestrian/bicycle,1057.924,1018.577,0.529,0.48,,,
1.0,4,1,100,pedestrian/bicycle,1061.179,1022.301,-0.814,0.017,,,
1.0,5,1,100,car,979.29,1018.565,-4.086,-2.421,-2.607,4.61,2.16
1.0,6,1,100,car,1071.513,1034.676,0.261,5.232,1.521,4.57,2.07
1.0,7,1,100,car,989.841,1022.051,-6.346,2.579,2.756,4.7,1.94
1.0,8,1,100,car,1012.678,1016.434,-1.511,0.102,3.074,5.24,2.12
1.0,9,1,100,car,1046.985,1009.966,0.551,-0.023,-0.042,4.55,1.9
1.0,10,1,100,car,1033.919,1015.302,-2.055,0.115,3.085,4.62,2.03
1.0,11,1,100,car,1024.755,1015.783,-2.18,0.152,3.072,4.31,1.86
1.0,12,1,100,car,1007.934,1010.28,7.432,2.256,0.295,4.7,2.1
1.0,13,1,100,car,1066.704,1012.826,-3.286,0.146,3.097,4.85,2.07
1.0,2,2,200,pedestrian/bicycle,1055.131,1010.313,0.46,-1.115,,,
1.0,3,2,200,pedestrian/bicycle,1057.976,1018.622,0.505,0.433,,,
1.0,4,2,200,pedestrian/bicycle,1061.099,1022.303,-0.773,0.024,,,
1.0,5,2,200,car,978.917,1018.27,-3.999,-2.588,-2.567,4.61,2.16
1.0,6,2,200,car,1071.539,1035.199,0.262,5.276,1.521,4.57,2.07
1.0,7,2,200,car,989.212,1022.322,-6.372,2.654,2.747,4.7,1.94
1.0,8,2,200,car,1012.527,1016.448,-1.497,0.103,3.073,5.24,2.12
1.0,9,2,200,car,1047.041,1009.963,0.578,-0.024,-0.042,4.55,1.9
1.0,10,2,200,car,1033.713,1015.313,-2.045,0.114,3.086,4.62,2.03
1.0,11,2,200,car,1024.537,1015.797,-2.184,0.151,3.073,4.31,1.86
1.0,12,2,200,car,1008.689,1010.463,7.518,2.056,0.267,4.7,2.1
1.0,13,2,200,car,1066.375,1012.843,-3.307,0.151,3.096,4.85,2.07
1.0,2,3,300,pedestrian/bicycle,1055.177,1010.202,0.463,-1.109,,,
1.0,3,3,300,pedestrian/bicycle,1058.025,1018.663,0.485,0.385,,,
1.0,4,3,300,pedestrian/bicycle,1061.024,1022.305,-0.73,0.026,,,
1.0,5,3,300,car,978.556,1017.96,-3.906,-2.755,-2.527,4.61,2.16
1.0,6,3,300,car,1071.565,1035.726,0.264,5.321,1.521,4.57,2.07
1.0,7,3,300,car,988.581,1022.6,-6.392,2.729,2.738,4.7,1.94
1.0,8,3,300,car,1012.378,1016.461,-1.501,0.106,3.071,5.24,2.12
1.0,9,3,300,car,1047.098,1009.959,0.602,-0.026,-0.043,4.55,1.9
1.0,10,3,300,car,1033.509,1015.324,-2.038,0.113,3.086,4.62,2.03
1.0,11,3,300,car,1024.318,1015.811,-2.186,0.149,3.073,4.31,1.86
1.0,12,3,300,car,1009.451,1010.626,7.603,1.86,0.24,4.7,2.1
1.0,13,3,300,car,1066.045,1012.859,-3.331,0.156,3.095,4.85,2.07
1.0,2,4,400,pedestrian/bicycle,1055.223,1010.092,0.463,-1.102,,,
1.0,3,4,400,pedestrian/bicycle,1058.073,1018.699,0.471,0.336,,,
1.0,4,4,400,pedestrian/bicycle,1060.953,1022.308,-0.688,0.026,,,
