case_id,track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy,psi_rad,length,width
1.0,1,1,100,pedestrian/bicycle,1044.509,1012.175,0.103,-1.005,,,
1.0,2,1,100,pedestrian/bicycle,1043.84,1013.348,-0.101,-1.362,,,
1.0,3,1,100,pedestrian/bicycle,1007.638,1022.038,0.687,0.787,,,
1.0,4,1,100,car,1036.888,976.415,-1.063,1.98,2.064,5.2,1.86
1.0,5,1,100,car,1038.206,993.477,-2.343,5.161,1.997,4.68,1.9
1.0,6,1,100,car,1004.449,984.315,1.823,-0.369,-0.2,4.93,1.97
1.0,7,1,100,car,1013.407,987.769,4.564,-3.386,-0.638,4.83,1.93
1.0,8,1,100,car,1048.917,980.407,-0.894,0.591,2.557,5.13,1.96
1.0,9,1,100,car,993.728,985.78,1.184,0.012,0.01,4.54,1.81
1.0,10,1,100,car,981.026,985.788,4.411,0.197,0.045,4.55,1.78
1.0,11,1,100,car,1055.975,975.473,-1.121,0.764,2.543,4.74,1.86
1.0,12,1,100,car,1036.398,1022.086,-0.089,-0.115,-2.233,4.39,1.83
1.0,13,1,100,car,965.73,984.556,5.207,0.307,0.059,4.34,1.75
1.0,1,2,200,pedestrian/bicycle,1044.52,1012.075,0.116,-1.0,,,
1.0,2,2,200,pedestrian/bicycle,1043.833,1013.212,-0.035,-1.356,,,
1.0,3,2,200,pedestrian/bicycle,1007.705,1022.113,0.653,0.706,,,
1.0,4,2,200,car,1036.793,976.619,-1.047,1.985,2.056,5.2,1.86
1.0,5,2,200,car,1037.975,993.996,-2.341,5.201,1.994,4.68,1.9
1.0,6,2,200,car,1004.63,984.274,1.977,-0.404,-0.202,4.93,1.97
1.0,7,2,200,car,1013.891,987.467,4.561,-3.174,-0.608,4.83,1.93
1.0,8,2,200,car,1048.827,980.465,-0.92,0.608,2.558,5.13,1.96
1.0,9,2,200,car,993.847,985.78,1.116,0.01,0.009,4.54,1.81
1.0,10,2,200,car,981.467,985.805,4.259,0.182,0.043,4.55,1.78
1.0,11,2,200,car,1055.864,975.551,-1.13,0.773,2.542,4.74,1.86
1.0,12,2,200,car,1036.404,1022.098,0.0,0.0,-2.234,4.39,1.83
1.0,13,2,200,car,966.251,984.588,5.17,0.307,0.059,4.34,1.75
1.0,1,3,300,pedestrian/bicycle,1044.533,1011.974,0.139,-1.012,,,
1.0,2,3,300,pedestrian/bicycle,1043.833,1013.078,0.029,-1.341,,,
1.0,3,3,300,pedestrian/bicycle,1007.77,1022.18,0.647,0.633,,,
1.0,4,3,300,car,1036.699,976.823,-1.027,1.981,2.049,5.2,1.86
1.0,5,3,300,car,1037.742,994.518,-2.352,5.233,1.993,4.68,1.9
1.0,6,3,300,car,1004.827,984.231,2.128,-0.439,-0.203,4.93,1.97
1.0,7,3,300,car,1014.371,987.186,4.528,-2.963,-0.579,4.83,1.93
