case_id,track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy,psi_rad,length,width
1.0,1,1,100,pedestrian/bicycle,1057.522,1020.414,-5.908,1.23,,,
1.0,2,1,100,pedestrian/bicycle,972.165,1014.283,-0.209,1.762,,,
1.0,3,1,100,car,930.068,1025.225,-0.256,-0.011,-3.0980000000000003,4.75,1.91
1.0,4,1,100,car,938.064,1025.752,0.0,0.0,-3.045,4.27,1.9
1.0,5,1,100,car,944.862,1026.573,0.0,0.0,-2.99,4.68,2.01
1.0,6,1,100,car,952.214,1027.434,0.0,0.0,-2.999,3.97,1.91
1.0,7,1,100,car,966.958,1030.716,-4.2010000000000005,-1.188,-2.866,4.86,2.06
1.0,8,1,100,car,985.656,987.212,1.269,-7.84,-1.41,5.03,2.04
1.0,9,1,100,car,967.88,1009.973,1.5219999999999998,-0.5579999999999999,-0.351,4.89,1.99
1.0,10,1,100,car,978.556,1033.538,-2.639,-4.283,-2.123,4.58,1.88
1.0,11,1,100,car,954.626,1013.597,3.071,-0.446,2.997,4.06,1.77
1.0,12,1,100,car,944.128,1013.749,3.562,0.053,0.015,4.39,1.85
1.0,1,2,200,pedestrian/bicycle,1056.933,1020.539,-5.879,1.268,,,
1.0,2,2,200,pedestrian/bicycle,972.145,1014.458,-0.196,1.742,,,
1.0,3,2,200,car,930.043,1025.224,-0.261,-0.011,-3.0980000000000003,4.75,1.91
1.0,4,2,200,car,938.064,1025.752,0.0,0.0,-3.045,4.27,1.9
1.0,5,2,200,car,944.862,1026.573,0.0,0.0,-2.99,4.68,2.01
1.0,6,2,200,car,952.214,1027.434,0.0,0.0,-2.999,3.97,1.91
1.0,7,2,200,car,966.538,1030.598,-4.059,-1.145,-2.867,4.86,2.06
1.0,8,2,200,car,985.768,986.426,1.188,-7.853,-1.421,5.03,2.04
1.0,9,2,200,car,968.031,1009.914,1.617,-0.596,-0.353,4.89,1.99
1.0,10,2,200,car,978.305,1033.101,-2.6010000000000004,-4.323,-2.113,4.58,1.88
1.0,11,2,200,car,954.934,1013.563,3.01,-0.4629999999999999,2.989,4.06,1.77
1.0,12,2,200,car,944.485,1013.753,3.553,0.051,0.0139999999999999,4.39,1.85
1.0,1,3,300,pedestrian/bicycle,1056.346,1020.667,-5.852,1.298,,,
1.0,2,3,300,pedestrian/bicycle,972.126,1014.631,-0.18,1.722,,,
1.0,3,3,300,car,930.017,1025.222,-0.273,-0.012,-3.0980000000000003,4.75,1.91
1.0,4,3,300,car,938.064,1025.752,0.0,0.0,-3.045,4.27,1.9
1.0,5,3,300,car,944.862,1026.573,0.0,0.0,-2.99,4.68,2.01
1.0,6,3,300,car,952.214,1027.434,0.0,0.0,-2.999,3.97,1.91
1.0,7,3,300,car,966.131,1030.485,-3.92,-1.101,-2.8680000000000003,4.86,2.06
1.0,8,3,300,car,985.872,985.638,1.109,-7.865,-1.431,5.03,2.04
1.0,9,3,300,car,968.192,1009.851,1.723,-0.64,-0.356,4.89,1.99
1.0,10,3,300,car,978.059,1032.66,-2.559,-4.3660000000000005,-2.101,4.58,1.88
1.0,11,3,300,car,955.237,1013.529,2.949,-0.48,2.98,4.06,1.77
1.0,12,3,300,car,944.84,1013.757,3.5460000000000003,0.048,0.013,4.39,1.85
1.0,1,4,400,pedestrian/bicycle,1055.762,1020.798,-5.826,1.321,,,
1.0,2,4,400,pedestrian/bicycle,972.109,1014.802,-0.164,1.703,,,
1.0,3,4,400,car,929.989,1025.221,-0.293,-0.013,-3.0980000000000003,4.75,1.91
1.0,4,4,400,car,938.064,1025.752,0.0,0.0,-3.045,4.27,1.9
1.0,5,4,400,car,944.862,1026.573,0.0,0.0,-2.99,4.68,2.01
1.0,6,4,400,car,952.214,1027.434,0.0,0.0,-2.999,3.97,1.91
1.0,7,4,400,car,965.739,1030.377,-3.782,-1.057,-2.869,4.86,2.06
1.0,8,4,400,car,985.969,984.85,1.03,-7.876,-1.4409999999999998,5.03,2.04
1.0,9,4,400,car,968.362,1009.783,1.837,-0.688,-0.358,4.89,1.99
1.0,10,4,400,car,977.819,1032.214,-2.51,-4.412,-2.088,4.58,1.88
1.0,11,4,400,car,955.534,1013.494,2.888,-0.497,2.971,4.06,1.77
1.0,12,4,400,car,945.195,1013.76,3.539,0.044,0.013,4.39,1.85
1.0,1,5,500,pedestrian/bicycle,1055.181,1020.931,-5.804,1.338,,,
1.0,2,5,500,pedestrian/bicycle,972.093,1014.972,-0.147,1.684,,,
1.0,3,5,500,car,929.96,1025.22,-0.319,-0.0139999999999999,-3.0980000000000003,4.75,1.91
1.0,4,5,500,car,938.064,1025.752,0.0,0.0,-3.045,4.27,1.9
1.0,5,5,500,car,944.862,1026.573,0.0,0.0,-2.99,4.68,2.01
1.0,6,5,500,car,952.214,1027.434,0.0,0.0,-2.999,3.97,1.91
1.0,7,5,500,car,965.36,1030.274,-3.645,-1.012,-2.8710000000000004,4.86,2.06
1.0,8,5,500,car,986.057,984.061,0.951,-7.886,-1.4509999999999998,5.03,2.04
1.0,9,5,500,car,968.545,1009.71,1.957,-0.7390000000000001,-0.361,4.89,1.99
1.0,10,5,500,car,977.585,1031.762,-2.456,-4.459,-2.074,4.58,1.88
1.0,11,5,500,car,955.824,1013.457,2.826,-0.515,2.9610000000000003,4.06,1.77
1.0,12,5,500,car,945.548,1013.763,3.533,0.04,0.011,4.39,1.85
1.0,1,6,600,pedestrian/bicycle,1054.601,1021.065,-5.788,1.347,,,
1.0,2,6,600,pedestrian/bicycle,972.079,1015.139,-0.13,1.661,,,
1.0,3,6,600,car,929.928,1025.218,-0.35,-0.015,-3.0980000000000003,4.75,1.91
1.0,4,6,600,car,938.064,1025.752,0.0,0.0,-3.045,4.27,1.9
1.0,5,6,600,car,944.862,1026.573,0.0,0.0,-2.99,4.68,2.01
1.0,6,6,600,car,952.214,1027.434,0.0,0.0,-2.999,3.97,1.91
1.0,7,6,600,car,964.995,1030.1760000000002,-3.508,-0.967,-2.873,4.86,2.06
1.0,9,6,600,car,968.739,1009.632,2.079,-0.792,-0.364,4.89,1.99
1.0,10,6,600,car,977.358,1031.306,-2.394,-4.506,-2.059,4.58,1.88
1.0,11,6,600,car,956.109,1013.419,2.763,-0.532,2.951,4.06,1.77
1.0,12,6,600,car,945.902,1013.765,3.525,0.035,0.01,4.39,1.85
1.0,1,7,700,pedestrian/bicycle,1054.023,1021.2,-5.782,1.347,,,
1.0,2,7,700,pedestrian/bicycle,972.067,1015.304,-0.113,1.639,,,
1.0,3,7,700,car,929.893,1025.216,-0.386,-0.017,-3.097,4.75,1.91
1.0,4,7,700,car,938.064,1025.752,0.0,0.0,-3.045,4.27,1.9
1.0,5,7,700,car,944.862,1026.573,0.0,0.0,-2.99,4.68,2.01
1.0,6,7,700,car,952.214,1027.434,0.0,0.0,-2.999,3.97,1.91
1.0,7,7,700,car,964.643,1030.082,-3.37,-0.922,-2.875,4.86,2.06
1.0,9,7,700,car,968.945,1009.548,2.201,-0.846,-0.367,4.89,1.99
1.0,10,7,700,car,977.139,1030.844,-2.327,-4.552,-2.043,4.58,1.88
1.0,11,7,700,car,956.388,1013.381,2.698,-0.5489999999999999,2.9410000000000003,4.06,1.77
1.0,12,7,700,car,946.254,1013.767,3.516,0.03,0.009,4.39,1.85
1.0,1,8,800,pedestrian/bicycle,1053.444,1021.335,-5.785,1.341,,,
1.0,2,8,800,pedestrian/bicycle,972.057,1015.467,-0.099,1.621,,,
1.0,3,8,800,car,929.855,1025.215,-0.426,-0.019,-3.097,4.75,1.91
1.0,4,8,800,car,938.064,1025.752,0.0,0.0,-3.045,4.27,1.9
1.0,5,8,800,car,944.862,1026.573,0.0,0.0,-2.99,4.68,2.01
1.0,6,8,800,car,952.214,1027.434,0.0,0.0,-2.999,3.97,1.91
1.0,7,8,800,car,964.305,1029.993,-3.2310000000000003,-0.8759999999999999,-2.877,4.86,2.06
1.0,9,8,800,car,969.163,1009.459,2.32,-0.901,-0.37,4.89,1.99
1.0,10,8,800,car,976.928,1030.378,-2.252,-4.596,-2.026,4.58,1.88
1.0,11,8,800,car,956.66,1013.341,2.63,-0.5660000000000001,2.93,4.06,1.77
1.0,12,8,800,car,946.606,1013.767,3.504,0.024,0.0069999999999999,4.39,1.85
1.0,1,9,900,pedestrian/bicycle,1052.865,1021.468,-5.799,1.335,,,
1.0,2,9,900,pedestrian/bicycle,972.047,1015.628,-0.089,1.609,,,
1.0,3,9,900,car,929.812,1025.212,-0.471,-0.021,-3.097,4.75,1.91
1.0,4,9,900,car,938.064,1025.752,0.0,0.0,-3.045,4.27,1.9
1.0,5,9,900,car,944.862,1026.573,0.0,0.0,-2.99,4.68,2.01
1.0,6,9,900,car,952.214,1027.434,0.0,0.0,-2.999,3.97,1.91
1.0,7,9,900,car,963.981,1029.909,-3.089,-0.83,-2.879,4.86,2.06
1.0,9,9,900,car,969.393,1009.365,2.4330000000000003,-0.954,-0.374,4.89,1.99
1.0,10,9,900,car,976.726,1029.907,-2.17,-4.636,-2.009,4.58,1.88
1.0,11,9,900,car,956.926,1013.301,2.5610000000000004,-0.583,2.918,4.06,1.77
1.0,12,9,900,car,946.956,1013.767,3.489,0.016,0.005,4.39,1.85
1.0,1,10,1000,pedestrian/bicycle,1052.284,1021.602,-5.826,1.331,,,
1.0,2,10,1000,pedestrian/bicycle,972.039,1015.789,-0.083,1.599,,,
1.0,3,10,1000,car,929.765,1025.21,-0.521,-0.023,-3.097,4.75,1.91
1.0,4,10,1000,car,938.064,1025.752,0.0,0.0,-3.045,4.27,1.9
1.0,5,10,1000,car,944.862,1026.573,0.0,0.0,-2.99,4.68,2.01
1.0,6,10,1000,car,952.214,1027.434,0.0,0.0,-2.999,3.97,1.91
1.0,7,10,1000,car,963.671,1029.83,-2.946,-0.784,-2.881,4.86,2.06
1.0,9,10,1000,car,969.635,1009.264,2.5380000000000003,-1.006,-0.377,4.89,1.99
1.0,10,10,1000,car,976.533,1029.432,-2.082,-4.671,-1.99,4.58,1.88
1.0,11,10,1000,car,957.186,1013.26,2.487,-0.599,2.905,4.06,1.77
1.0,12,10,1000,car,947.305,1013.765,3.469,0.008,0.002,4.39,1.85
1.0,1,11,1100,pedestrian/bicycle,1051.699,1021.735,-5.865,1.327,,,
1.0,2,11,1100,pedestrian/bicycle,972.03,1015.948,-0.082,1.582,,,
1.0,3,11,1100,car,929.713,1025.208,-0.574,-0.026,-3.097,4.75,1.91
1.0,4,11,1100,car,938.064,1025.752,0.0,0.0,-3.045,4.27,1.9
1.0,5,11,1100,car,944.862,1026.573,0.0,0.0,-2.99,4.68,2.01
1.0,6,11,1100,car,952.214,1027.434,0.0,0.0,-2.999,3.97,1.91
1.0,7,11,1100,car,963.375,1029.756,-2.799,-0.738,-2.884,4.86,2.06
1.0,9,11,1100,car,969.887,1009.159,2.636,-1.056,-0.381,4.89,1.99
1.0,10,11,1100,car,976.35,1028.954,-1.989,-4.702,-1.971,4.58,1.88
1.0,11,11,1100,car,957.438,1013.218,2.411,-0.614,2.892,4.06,1.77
1.0,12,11,1100,car,947.652,1013.762,3.442,-0.001,-0.0,4.39,1.85
1.0,1,12,1200,pedestrian/bicycle,1051.111,1021.867,-5.912,1.322,,,
1.0,2,12,1200,pedestrian/bicycle,972.022,1016.105,-0.084,1.563,,,
1.0,3,12,1200,car,929.656,1025.205,-0.633,-0.0279999999999999,-3.097,4.75,1.91
1.0,4,12,1200,car,938.064,1025.752,0.0,0.0,-3.045,4.27,1.9
1.0,5,12,1200,car,944.862,1026.573,0.0,0.0,-2.99,4.68,2.01
1.0,6,12,1200,car,952.214,1027.434,0.0,0.0,-2.999,3.97,1.91
1.0,7,12,1200,car,963.094,1029.686,-2.649,-0.691,-2.886,4.86,2.06
1.0,9,12,1200,car,970.148,1009.048,2.724,-1.104,-0.385,4.89,1.99
1.0,10,12,1200,car,976.178,1028.473,-1.89,-4.727,-1.951,4.58,1.88
1.0,11,12,1200,car,957.683,1013.175,2.331,-0.628,2.879,4.06,1.77
1.0,12,12,1200,car,947.996,1013.757,3.409,-0.011,-0.003,4.39,1.85
1.0,1,13,1300,pedestrian/bicycle,1050.517,1021.999,-5.961,1.315,,,
1.0,2,13,1300,pedestrian/bicycle,972.014,1016.261,-0.085,1.547,,,
1.0,3,13,1300,car,929.592,1025.202,-0.696,-0.031,-3.096,4.75,1.91
1.0,4,13,1300,car,938.064,1025.752,0.0,0.0,-3.045,4.27,1.9
1.0,5,13,1300,car,944.862,1026.573,0.0,0.0,-2.99,4.68,2.01
1.0,6,13,1300,car,952.214,1027.434,0.0,0.0,-2.999,3.97,1.91
1.0,7,13,1300,car,962.828,1029.621,-2.498,-0.645,-2.889,4.86,2.06
1.0,9,13,1300,car,970.418,1008.932,2.805,-1.151,-0.389,4.89,1.99
1.0,10,13,1300,car,976.016,1027.99,-1.788,-4.749,-1.931,4.58,1.88
1.0,11,13,1300,car,957.921,1013.132,2.248,-0.64,2.864,4.06,1.77
1.0,12,13,1300,car,948.337,1013.751,3.3680000000000003,-0.023,-0.0069999999999999,4.39,1.85
1.0,1,14,1400,pedestrian/bicycle,1049.919,1022.13,-6.007,1.312,,,
1.0,2,14,1400,pedestrian/bicycle,972.005,1016.415,-0.086,1.532,,,
1.0,3,14,1400,car,929.523,1025.198,-0.764,-0.035,-3.096,4.75,1.91
1.0,4,14,1400,car,938.064,1025.752,0.0,0.0,-3.045,4.27,1.9
1.0,5,14,1400,car,944.862,1026.573,0.0,0.0,-2.99,4.68,2.01
1.0,6,14,1400,car,952.214,1027.434,0.0,0.0,-2.999,3.97,1.91
1.0,7,14,1400,car,962.578,1029.56,-2.344,-0.599,-2.892,4.86,2.06
1.0,9,14,1400,car,970.696,1008.811,2.878,-1.196,-0.3939999999999999,4.89,1.99
1.0,10,14,1400,car,975.866,1027.505,-1.682,-4.766,-1.91,4.58,1.88
1.0,11,14,1400,car,958.15,1013.088,2.162,-0.6509999999999999,2.849,4.06,1.77
1.0,12,14,1400,car,948.674,1013.744,3.319,-0.034,-0.01,4.39,1.85
1.0,1,15,1500,pedestrian/bicycle,1049.316,1022.262,-6.043,1.316,,,
1.0,2,15,1500,pedestrian/bicycle,971.997,1016.567,-0.084,1.519,,,
1.0,3,15,1500,car,929.446,1025.194,-0.8390000000000001,-0.038,-3.096,4.75,1.91
1.0,4,15,1500,car,938.064,1025.752,0.0,0.0,-3.045,4.27,1.9
1.0,5,15,1500,car,944.862,1026.573,0.0,0.0,-2.99,4.68,2.01
1.0,6,15,1500,car,952.214,1027.434,0.0,0.0,-2.999,3.97,1.91
1.0,7,15,1500,car,962.342,1029.504,-2.189,-0.5529999999999999,-2.894,4.86,2.06
1.0,9,15,1500,car,970.981,1008.686,2.944,-1.239,-0.3979999999999999,4.89,1.99
1.0,10,15,1500,car,975.727,1027.019,-1.575,-4.78,-1.889,4.58,1.88
1.0,11,15,1500,car,958.372,1013.043,2.075,-0.66,2.834,4.06,1.77
1.0,12,15,1500,car,949.006,1013.734,3.26,-0.047,-0.0139999999999999,4.39,1.85
1.0,1,16,1600,pedestrian/bicycle,1048.71,1022.394,-6.067,1.324,,,
1.0,2,16,1600,pedestrian/bicycle,971.989,1016.719,-0.078,1.509,,,
1.0,3,16,1600,car,929.362,1025.19,-0.92,-0.042,-3.096,4.75,1.91
1.0,4,16,1600,car,938.064,1025.752,0.0,0.0,-3.045,4.27,1.9
1.0,5,16,1600,car,944.862,1026.573,0.0,0.0,-2.99,4.68,2.01
1.0,6,16,1600,car,952.214,1027.434,0.0,0.0,-2.999,3.97,1.91
1.0,7,16,1600,car,962.122,1029.452,-2.0340000000000003,-0.509,-2.8960000000000004,4.86,2.06
1.0,9,16,1600,car,971.273,1008.556,3.005,-1.2819999999999998,-0.4029999999999999,4.89,1.99
1.0,10,16,1600,car,975.599,1026.532,-1.467,-4.792,-1.868,4.58,1.88
1.0,11,16,1600,car,958.585,1012.998,1.987,-0.667,2.818,4.06,1.77
1.0,12,16,1600,car,949.332,1013.723,3.194,-0.06,-0.019,4.39,1.85
1.0,1,17,1700,pedestrian/bicycle,1048.103,1022.526,-6.082,1.33,,,
1.0,2,17,1700,pedestrian/bicycle,971.981,1016.869,-0.071,1.505,,,
1.0,3,17,1700,car,929.271,1025.185,-1.007,-0.047,-3.095,4.75,1.91
1.0,4,17,1700,car,938.064,1025.752,0.0,0.0,-3.045,4.27,1.9
